Local time,Open,High,Low,Close,Volume
01.07.2025 00:00:00.000 GMT-0500,1.17862,1.17864,1.17850,1.17851,40140
01.07.2025 00:01:00.000 GMT-0500,1.17851,1.17858,1.17848,1.17857,45000
01.07.2025 00:02:00.000 GMT-0500,1.17856,1.17860,1.17856,1.17856,16050
01.07.2025 00:03:00.000 GMT-0500,1.17857,1.17869,1.17856,1.17859,21240
01.07.2025 00:04:00.000 GMT-0500,1.17860,1.17863,1.17854,1.17855,18030
01.07.2025 00:05:00.000 GMT-0500,1.17854,1.17877,1.17854,1.17871,26250
01.07.2025 00:06:00.000 GMT-0500,1.17869,1.17869,1.17863,1.17863,25230
01.07.2025 00:07:00.000 GMT-0500,1.17862,1.17862,1.17850,1.17854,79860
01.07.2025 00:08:00.000 GMT-0500,1.17855,1.17858,1.17853,1.17855,96300
01.07.2025 00:09:00.000 GMT-0500,1.17853,1.17859,1.17851,1.17856,27450
01.07.2025 00:10:00.000 GMT-0500,1.17856,1.17862,1.17848,1.17854,62160
01.07.2025 00:11:00.000 GMT-0500,1.17855,1.17863,1.17855,1.17860,16590
01.07.2025 00:12:00.000 GMT-0500,1.17862,1.17869,1.17860,1.17865,22500
01.07.2025 00:13:00.000 GMT-0500,1.17864,1.17864,1.17854,1.17854,47070
01.07.2025 00:14:00.000 GMT-0500,1.17855,1.17860,1.17847,1.17849,17100
01.07.2025 00:15:00.000 GMT-0500,1.17847,1.17849,1.17839,1.17839,30960
01.07.2025 00:16:00.000 GMT-0500,1.17840,1.17845,1.17834,1.17836,106470
01.07.2025 00:17:00.000 GMT-0500,1.17836,1.17841,1.17830,1.17830,52950
01.07.2025 00:18:00.000 GMT-0500,1.17833,1.17842,1.17826,1.17827,82350
01.07.2025 00:19:00.000 GMT-0500,1.17827,1.17828,1.17823,1.17828,33300
01.07.2025 00:20:00.000 GMT-0500,1.17829,1.17831,1.17825,1.17827,39600
01.07.2025 00:21:00.000 GMT-0500,1.17827,1.17851,1.17827,1.17851,27900
01.07.2025 00:22:00.000 GMT-0500,1.17854,1.17857,1.17847,1.17847,22950
01.07.2025 00:23:00.000 GMT-0500,1.17849,1.17857,1.17845,1.17857,45960
01.07.2025 00:24:00.000 GMT-0500,1.17858,1.17862,1.17858,1.17861,4620
01.07.2025 00:25:00.000 GMT-0500,1.17860,1.17863,1.17860,1.17861,9090
01.07.2025 00:26:00.000 GMT-0500,1.17861,1.17877,1.17859,1.17876,14670
01.07.2025 00:27:00.000 GMT-0500,1.17875,1.17875,1.17847,1.17867,33930
01.07.2025 00:28:00.000 GMT-0500,1.17870,1.17878,1.17869,1.17873,21180
01.07.2025 00:29:00.000 GMT-0500,1.17870,1.17874,1.17868,1.17871,12150
01.07.2025 00:30:00.000 GMT-0500,1.17871,1.17894,1.17871,1.17886,24390
01.07.2025 00:31:00.000 GMT-0500,1.17889,1.17889,1.17884,1.17884,8580
01.07.2025 00:32:00.000 GMT-0500,1.17885,1.17888,1.17883,1.17884,9270
01.07.2025 00:33:00.000 GMT-0500,1.17882,1.17886,1.17876,1.17880,36090
01.07.2025 00:34:00.000 GMT-0500,1.17879,1.17881,1.17876,1.17881,24210
01.07.2025 00:35:00.000 GMT-0500,1.17879,1.17884,1.17875,1.17877,18390
01.07.2025 00:36:00.000 GMT-0500,1.17879,1.17884,1.17879,1.17883,10080
01.07.2025 00:37:00.000 GMT-0500,1.17882,1.17887,1.17879,1.17887,24300
01.07.2025 00:38:00.000 GMT-0500,1.17889,1.17889,1.17885,1.17887,8100
01.07.2025 00:39:00.000 GMT-0500,1.17885,1.17885,1.17862,1.17863,37800
01.07.2025 00:40:00.000 GMT-0500,1.17860,1.17866,1.17854,1.17860,28350
01.07.2025 00:41:00.000 GMT-0500,1.17856,1.17856,1.17846,1.17846,10800
01.07.2025 00:42:00.000 GMT-0500,1.17847,1.17854,1.17833,1.17833,108570
01.07.2025 00:43:00.000 GMT-0500,1.17834,1.17840,1.17828,1.17839,50400
01.07.2025 00:44:00.000 GMT-0500,1.17841,1.17846,1.17839,1.17844,37350
01.07.2025 00:45:00.000 GMT-0500,1.17843,1.17843,1.17822,1.17824,47250
01.07.2025 00:46:00.000 GMT-0500,1.17823,1.17838,1.17823,1.17832,35550
01.07.2025 00:47:00.000 GMT-0500,1.17831,1.17842,1.17828,1.17835,27990
01.07.2025 00:48:00.000 GMT-0500,1.17837,1.17838,1.17808,1.17808,26190
01.07.2025 00:49:00.000 GMT-0500,1.17810,1.17814,1.17809,1.17810,14580
01.07.2025 00:50:00.000 GMT-0500,1.17811,1.17827,1.17803,1.17803,64080
01.07.2025 00:51:00.000 GMT-0500,1.17803,1.17815,1.17801,1.17815,17400
01.07.2025 00:52:00.000 GMT-0500,1.17818,1.17846,1.17818,1.17834,51510
01.07.2025 00:53:00.000 GMT-0500,1.17835,1.17840,1.17818,1.17827,36810
01.07.2025 00:54:00.000 GMT-0500,1.17826,1.17837,1.17826,1.17835,19800
01.07.2025 00:55:00.000 GMT-0500,1.17836,1.17860,1.17836,1.17838,53340
01.07.2025 00:56:00.000 GMT-0500,1.17838,1.17870,1.17838,1.17868,51000
01.07.2025 00:57:00.000 GMT-0500,1.17866,1.17871,1.17862,1.17870,42120
